序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
92,294178964433,296705424592,28322326,傀儡莫得感情,6,男,回复 @给哔哩起名字 :总比跑步好啊,2026-03-26 03:39:56,0,35,空白文件,江苏,是,https://i1.hdslb.com/bfs/face/91cbcbca8fbe4d0de65be1e6177a5c5550927bd0.jpg
93,296705424592,294194753473,284581190,给哔哩起名字,6,保密,回复 @傀儡莫得感情 :好不了的，你不改变工作休息规律的话，不是这次也是下次，长期的耗损造成的,2026-03-26 04:00:15,0,27,,海南,是,https://i2.hdslb.com/bfs/face/27af00d60f0e7487901290c163ca5abab1d217b9.jpg
94,296705424592,294194925777,284581190,给哔哩起名字,6,保密,回复 @傀儡莫得感情 :就算他不跑步，他也不可能停下几天的时间休息的，更何况就算休息了后面还是这样长期的高压工作，无解就是,2026-03-26 04:01:15,0,16,,海南,是,https://i2.hdslb.com/bfs/face/27af00d60f0e7487901290c163ca5abab1d217b9.jpg
95,296688080288,294198646401,3537113414896266,埃里克--滕哈赫,3,保密,不可能，这时候已经发病了不是休息就能好的了，如果立马去医院可能还有救,2026-03-26 04:40:30,0,14,,黑龙江,否,https://i0.hdslb.com/bfs/face/1cabc4756398da760ac7056f50faf792f701ae30.jpg
96,296699404176,294204130529,32979470,侠士武修隐,6,男,回复 @CN_花剑雪 :说的是以前上班还要跑步的时候，不是死前一天累的时候，身体都是一天天垮的,2026-03-26 05:49:11,0,6,但愿世上无疾苦，宁可架上药生尘。,四川,是,https://i2.hdslb.com/bfs/face/4dcb9b4a95fd6915f0def6e48f36b7bf3f155a7b.jpg
97,296688080288,294206937121,195175392,牛羊昂,6,保密,马上去医院应该有的救，睡觉也不行了这状态,2026-03-26 06:29:01,0,6,谨言慎行,陕西,是,https://i0.hdslb.com/bfs/face/cfa336832f1b1b218a352bf1417a691ad382df24.jpg
98,296688080288,294209802433,54193558,搁岸观火,6,保密,他晚上还要直播[doge],2026-03-26 07:09:30,0,2,。。。。,广东,否,https://i1.hdslb.com/bfs/face/0725c5848975cc3481547381aa52f17785e0af58.jpg
99,296688080288,296723696560,343240420,nsksjsjjx,5,保密,睡觉还真不一定比跑步能恢复体力,2026-03-26 07:10:20,0,3,,湖北,否,https://i1.hdslb.com/bfs/face/678e7e3b998c05e491ab83deb339f23230095305.jpg
100,296688080288,294215466577,302437960,年少不復时光,6,男,这是累计的，不是一两天出来的,2026-03-26 08:31:45,0,0,你的人生就3万天，百分百死亡率的人生，你还在犹豫什么？在犹豫会怎么死吗？放开自己想做的事情，只要不犯法。,广东,否,https://i1.hdslb.com/bfs/face/7d9c9e2fae14a8a80df500c311981b7bad20dce2.jpg
101,296688080288,294215756497,234992685,T80BVM,6,男,照他这个身体状态跑马拉松也会猝死，最多人多救回来的概率大点,2026-03-26 08:37:07,0,3,试看将来的环球，必是赤旗的世界！,江苏,是,https://i0.hdslb.com/bfs/face/a616ddc9cc06e7e80cf60d507fd8f167d259fac6.jpg
102,294178964433,294219397569,277207069,加班猎雪夜,6,保密,回复 @给哔哩起名字 : 所以理解为什么有些地方的政府高管，越忙的人反而要抽空出来度假……,2026-03-26 09:22:51,0,4,用学徒心态，面对每一个新事物,江苏,否,https://i1.hdslb.com/bfs/face/24114b460d06534451bb7e01a2653a985e7fce77.jpg
103,296688080288,294222027905,3493260081236479,神明157,5,保密,这种直接要命的病，不是休息就管用的，他当时就算立刻休息也是必死的,2026-03-26 09:54:02,0,0,,河北,否,https://i1.hdslb.com/bfs/face/1c93b1920b79452961dfaf11405dbf344f89fc42.jpg
104,296688080288,294225150961,3546908157020299,心如止水的雨怡,3,保密,没用的，躲过了这次还有下次，他的生活作息就是这样，除非直接隐退，让他自己能得到充足的时间休息，调养身体需要慢慢来的,2026-03-26 10:27:13,0,3,,上海,否,https://i1.hdslb.com/bfs/face/9de602b321ea956e048e948cfd3e369fcd3aab4a.jpg
105,296688080288,294226218113,8595183,忧郁的鱿鱼圈,6,男,@你不要再说了哦,2026-03-26 10:39:18,0,0,,江苏,否,https://i0.hdslb.com/bfs/face/8403539fab34c8c745e160d0b094b50020b1e991.jpg
106,296723696560,296742172688,12433902,涅塞斯特,6,保密,回复 @nsksjsjjx :跑步醒神是透支,2026-03-26 10:40:22,0,0,我什么都没忘，以后也不会忘。,广东,否,https://i0.hdslb.com/bfs/face/f0b9c9e8301a7e43a05328c635570c2c46a7bdbd.jpg
107,296688080288,296742233792,247851933,幽灵mjl,6,保密,估计悬了，心脏本来就有毛病,2026-03-26 10:42:07,0,1,,北京,是,https://i0.hdslb.com/bfs/face/44a7ba7d1a28e365d8faa06a2ed751070c95a0b9.jpg
108,296723696560,296743589600,85247937,一介散人Pluto,6,保密,回复 @nsksjsjjx : 那我问你睡八个小时累还是跑八个小时累,2026-03-26 10:55:26,0,1,oi,广西,否,https://i0.hdslb.com/bfs/face/a4cf80db8f1f5db8511d06814e37fb21253b8cf8.jpg
109,294178964433,296743813360,40552520,寂寞中无奈,6,保密,回复 @给哔哩起名字 : 好几天？我辞职休养了1个多月了，还没缓过来。只能说没猝死风险了。,2026-03-26 10:57:11,0,0,,上海,是,https://i2.hdslb.com/bfs/face/f119ea813e51488f5012c6ea1cd554052eca0746.webp
110,296743813360,294229772561,284581190,给哔哩起名字,6,保密,回复 @寂寞中无奈 :“至少”,2026-03-26 11:15:59,0,0,,海南,是,https://i2.hdslb.com/bfs/face/27af00d60f0e7487901290c163ca5abab1d217b9.jpg
111,0,294206942529,493586699,暗江鱼,6,保密,他是怎么做到每天如此高强度工作睡眠不足还保持思路清晰和亢奋的[笑哭],2026-03-26 06:29:15,14,148,争取在第一时间分享新漫（性转漫画），偶尔会发一点游戏日常，不要在意,湖南,是,https://i2.hdslb.com/bfs/face/f7cc2d6f032b3a5be3c3b3fc1f3fb9a21c59a391.jpg
112,294206942529,296721623008,401156008,myctylvh,5,保密,透支生命就是这样子的,2026-03-26 06:44:04,0,57,,湖南,否,https://i1.hdslb.com/bfs/face/f501c0ea4c86041e2ab3937356ebd7b7dd8de8b6.jpg
113,294206942529,294210271073,383035857,周洲粥肘,6,男,@二次元爱在 燃烧生命这一块,2026-03-26 07:16:08,0,20,,山东,否,https://i0.hdslb.com/bfs/face/29e951311bae1684454c69b649c9ebc5cbcfa85c.jpg
114,294206942529,294211618529,517081980,初初186,6,女,一般成功人士确实比普通人精力更旺盛,2026-03-26 07:34:43,0,19,,天津,否,https://i0.hdslb.com/bfs/face/5f4df015722d154f1ec36beae832de6d2787eeea.jpg
115,294206942529,294213152321,60230883,童牧,6,保密,所以他走了啊[笑哭],2026-03-26 07:58:37,0,116,没有道理的拉黑只会显得你弱小无助,河南,否,https://i0.hdslb.com/bfs/face/ea42ce568c5aa9d91b60238a75e655db292c6783.jpg
116,294206942529,296727371216,442662346,捕杀贼鸥,6,男,有些人就是天生的高精力人群,2026-03-26 07:59:06,0,9,,日本,是,https://i1.hdslb.com/bfs/face/760b1c601d5c5aff369e50dfd80acbe6c37b761a.jpg
117,296727371216,296733435152,1731106516,海木子于,6,男,回复 @捕杀贼鸥 : 什么叫天生呢，都走了还天生吗，就是在透支生命啊，包括张朝阳早年说睡4个小时，救过明显比同龄人老，而且还拍到他开会睡觉，现在躺平了~,2026-03-26 09:12:20,0,21,越努力越幸运,陕西,否,https://i1.hdslb.com/bfs/face/e59db42789e4dd3f97a0e5b0b90f44646eda7c08.jpg
118,294206942529,296733853776,59366842,烟火小城问道,6,男,天天跑步多巴胺分泌太多，自我麻醉,2026-03-26 09:15:22,0,4,学习打卡，都是师傅的经验案例，个人实力有限，聊天zhang367zhss，县城第三代讨口子,广西,是,https://i1.hdslb.com/bfs/face/76aa1bd5c4efcd72e6e0f60fc2961483b9aec97f.jpg
119,294206942529,296736470720,260750745,飞翔吧罗非鱼,6,保密,你是没有40分钟左右的跑步过吧。我以前经常精神萎靡，自从早上慢跑40分钟后，白天都是精神的，加上晚上睡得好，成了良性循环,2026-03-26 09:43:42,0,3,,广西,否,https://i0.hdslb.com/bfs/face/23da77cd0dd833aca54f916fbeb359083941ddb2.jpg
120,296736470720,296736665840,52531020,阿文的旅途笔记,6,男,回复 @飞翔吧罗非鱼 : 学习一下~,2026-03-26 09:44:46,0,0,中国很美，一起去看看~原创摄影up～,湖北,否,https://i0.hdslb.com/bfs/face/1f03bb9e35396d0b94d49647d13d601c1337cdb9.jpg
121,294206942529,296737679856,218106629,青丝粘白雪,5,保密,大脑超频了,2026-03-26 09:56:08,0,1,,广东,是,https://i2.hdslb.com/bfs/face/901435ef227c679e6df25f681e730d5539874fe4.jpg
122,296733435152,294222657953,110513192,双刃斩龙,6,保密,回复 @海木子于 :因为高精力人群也会s啊,2026-03-26 10:00:38,0,3,白亚城扫地的，千粉时会有抽奖,山东,否,https://i2.hdslb.com/bfs/face/8e5c93502ad22a7ee5ce218962fc050047abb5d7.jpg
123,296733435152,296739073984,442662346,捕杀贼鸥,6,男,回复 @海木子于 :精力旺盛跟身体顶不住有啥关系？,2026-03-26 10:10:06,0,2,,日本,是,https://i1.hdslb.com/bfs/face/760b1c601d5c5aff369e50dfd80acbe6c37b761a.jpg
124,294206942529,296739028384,470481544,无所畏惧的强者,5,保密,透支了，参考李小龙。,2026-03-26 10:10:11,0,2,,江苏,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
125,294206942529,294226592241,347367191,下辈子做一棵樱花树,6,保密,消耗生命,2026-03-26 10:42:10,0,1,,山东,是,https://i2.hdslb.com/bfs/face/b3602484ff316fa506d34371077e07aa0a2eda60.jpg
126,0,294236431665,1857592277,硬毛刷是对QB宝具,5,保密,哈哈，百分之三十,2026-03-26 12:26:20,0,0,ⓘ该账号已被封禁,湖北,否,https://i2.hdslb.com/bfs/face/fb79103e8b33547023e2010030b6889bba2b49bf.jpg
127,0,294221471825,3546909492906156,原刑批发,3,保密,太心疼了，多希望他在直播告诉孩子们不要追求你那皮用没有的五险一金啊,2026-03-26 09:47:25,5,10,,四川,否,https://i0.hdslb.com/bfs/face/791392e8efe6bc52a08c1c81e53a7b9be2c278af.jpg
128,294221471825,294229934113,1451656982,嘉然想吃邪魔族幼虫,6,女,辣条😅,2026-03-26 11:17:15,0,0,Ծ‸ Ծ可爱捏Ծ‸ Ծ✌✅❇️✨⏬✊❇️✅⏬⏬✌❇️✨⏬✊❇️✅,安徽,是,https://i2.hdslb.com/bfs/face/67b3e27f6ed4975cceca1a00c47f968e1caf5299.jpg
129,294229934113,294231897697,1858759259,千年最强阻肘师牢傩,6,保密,回复 @嘉然想吃邪魔族幼虫 :何意,2026-03-26 11:38:59,0,0,,江苏,否,https://i2.hdslb.com/bfs/face/df886a8720e093ec7d975015f11c786670b35949.jpg
130,294229934113,294234948481,3546881772750890,名菏,4,保密,回复 @嘉然想吃邪魔族幼虫 :🐸,2026-03-26 12:12:03,0,0,这个人很神秘，什么都没有写,江苏,否,https://i2.hdslb.com/bfs/face/23e30b0ac29a607499791a2a6c25e30cbe554f13.jpg
131,294221471825,294235220209,26443656,生生不忘清思宇,6,男,医疗保险还是有用的,2026-03-26 12:13:11,0,0,要好好的,浙江,是,https://i0.hdslb.com/bfs/face/4b0d0a659b1a0295f5eca725026f97a4bb241c78.jpg
132,294221471825,296751952400,477844645,嗯冲,5,保密,还真是，现在这个工作环境65岁后还能活多久真是个问号,2026-03-26 12:16:40,0,0,有种丰收的喜悦，浑身充满力量,湖北,否,https://i1.hdslb.com/bfs/face/833323b102e78330cda9d6b548076c253559cff7.jpg
133,0,294176711905,3546717871934392,抖机灵--,6,保密,"眼睛一大一小，在医学上称为“眼睑下垂”或“瞳孔大小不等”，如果是突然出现的，尤其是在41岁这个年龄段，可能是某些严重疾病的信号，脑血管意外（中风/脑梗死）或短暂性脑缺血发作。
如果下垂的眼睑伴随同侧瞳孔缩小（即眼睛睁不开的那只眼睛，瞳孔比另一只小），同时伴有面部麻木、口角歪斜、说话不清、一侧肢体无力，哪怕这些症状几分钟就消失了，也可能是霍纳综合征的表现，提示颈动脉或脑干出现了问题。",2026-03-25 22:41:38,8,214,谢谢你这么温柔地看我，愿你永远被温柔相待。,天津,否,https://i1.hdslb.com/bfs/face/f955eeb856e9e1ea07c432f3dfbaaa1aed0253c1.jpg
134,294176711905,294187422417,3546860128045276,竹林里的豆豆,4,保密,搜了一下，是真的 https://b23.tv/BV1BLPDezEqa,2026-03-26 02:22:58,0,7,,浙江,否,https://i1.hdslb.com/bfs/face/c8414774c7d4e1749500611aeabd1918f68113bf.jpg
135,294176711905,294196157217,562010277,理塘最強伝説丁爱坤,5,保密,我就有大小眼但好像是天生的[笑哭],2026-03-26 04:15:18,0,3,老二次元一枚！,四川,是,https://i0.hdslb.com/bfs/face/71d816e9a3a891c5cc8f96be7a21fd019fcf8eef.webp
136,294196157217,296712876480,129067138,冷冻蔬菜,6,男,回复 @理塘最強伝説丁爱坤 :我也有一点[doge]也是天生的，这种是突发情况，就和梗死前兆一样,2026-03-26 04:55:41,0,4,崇拜,山东,是,https://i1.hdslb.com/bfs/face/448576d34ec0a7b77074f8e0f2ebd7184be67182.webp
137,294176711905,294205787329,424250481,泳池魄罗,6,男,这个我很严重啊，而且很长时间了。,2026-03-26 06:11:27,0,2,,广东,否,https://i0.hdslb.com/bfs/face/79b8d02fe5af8d14c9c5f659d528c84159841b27.jpg
138,294176711905,294207011089,493586699,暗江鱼,6,保密,我有时候早起赶飞机就是大小眼[Neuro sama动态表情包_害羞],2026-03-26 06:30:11,0,2,争取在第一时间分享新漫（性转漫画），偶尔会发一点游戏日常，不要在意,湖南,是,https://i2.hdslb.com/bfs/face/f7cc2d6f032b3a5be3c3b3fc1f3fb9a21c59a391.jpg
139,294176711905,296735404304,509893746,小白白0126,4,保密,专业,2026-03-26 09:31:25,0,0,,安徽,否,https://i0.hdslb.com/bfs/face/7e4421e46aa876085a972624534d7d2b2092ed76.jpg
140,294176711905,296738573648,9828335,一叶扁舟-杨扁舟,6,男,一只眼双眼皮，另一个单眼皮，表现出来是大小眼[辣眼睛],2026-03-26 10:04:18,0,0,龙的第166代传人，未来祖国的接班人,北京,否,https://i2.hdslb.com/bfs/face/bff0dfe72a75267ac19259bc9cd977596391ca39.jpg
141,294205787329,296750958960,3546704779413908,忆风未可知,4,保密,回复 @泳池魄罗 :如果是没休息好的话，要好好休息了兄弟[藏狐],2026-03-26 12:08:12,0,0,,吉林,否,https://i2.hdslb.com/bfs/face/c6e767d8d03501ce354679970487d8c59d74a4ac.jpg
142,0,296736457824,345656505,无敌的龙寒,6,男,[委屈],2026-03-26 09:43:19,2,15,,湖北,否,https://i0.hdslb.com/bfs/face/2c03904c232a06cc38db7ecf8e815b623b265115.jpg
143,296736457824,294229872881,1451656982,嘉然想吃邪魔族幼虫,6,女,辣条😅,2026-03-26 11:16:58,0,0,Ծ‸ Ծ可爱捏Ծ‸ Ծ✌✅❇️✨⏬✊❇️✅⏬⏬✌❇️✨⏬✊❇️✅,安徽,是,https://i2.hdslb.com/bfs/face/67b3e27f6ed4975cceca1a00c47f968e1caf5299.jpg
144,294229872881,294235285201,3546881772750890,名菏,4,保密,回复 @嘉然想吃邪魔族幼虫 :🐸,2026-03-26 12:13:04,0,0,这个人很神秘，什么都没有写,江苏,否,https://i2.hdslb.com/bfs/face/23e30b0ac29a607499791a2a6c25e30cbe554f13.jpg
145,0,296736826864,406603640,Magic_Lampa,6,男,累了就歇一歇，没必要硬撑,2026-03-26 09:46:13,3,5,,上海,是,http://i2.hdslb.com/bfs/face/b789227695be62f3ec67542e1fde73ec883dbc64.jpg
146,296736826864,294229811841,1451656982,嘉然想吃邪魔族幼虫,6,女,辣条😅,2026-03-26 11:17:11,0,0,Ծ‸ Ծ可爱捏Ծ‸ Ծ✌✅❇️✨⏬✊❇️✅⏬⏬✌❇️✨⏬✊❇️✅,安徽,是,https://i2.hdslb.com/bfs/face/67b3e27f6ed4975cceca1a00c47f968e1caf5299.jpg
147,294229811841,294235156945,3546881772750890,名菏,4,保密,回复 @嘉然想吃邪魔族幼虫 :🐸,2026-03-26 12:13:33,0,0,这个人很神秘，什么都没有写,江苏,否,https://i2.hdslb.com/bfs/face/23e30b0ac29a607499791a2a6c25e30cbe554f13.jpg
148,294229811841,294237302769,2021939158,好耶13345,5,保密,回复 @嘉然想吃邪魔族幼虫 : 人机这是锁到什么关键词了[笑哭],2026-03-26 12:35:26,0,0,,江苏,否,https://i1.hdslb.com/bfs/face/6e24dc3929c0f4a2982277068cc76d12b0e0f4c6.jpg
149,0,294235121457,484915883,zero_0_q3,6,保密,看样子已经很难受了，真的应该马上去医院，对心梗的危险还是意识不够,2026-03-26 12:12:27,0,4,,贵州,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
150,0,296744750864,3493264172780132,bili_75255256680,4,保密,那还挺有动机的,2026-03-26 11:05:49,1,2,,辽宁,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
151,296744750864,294229818881,1451656982,嘉然想吃邪魔族幼虫,6,女,辣条😅,2026-03-26 11:17:24,0,0,Ծ‸ Ծ可爱捏Ծ‸ Ծ✌✅❇️✨⏬✊❇️✅⏬⏬✌❇️✨⏬✊❇️✅,安徽,是,https://i2.hdslb.com/bfs/face/67b3e27f6ed4975cceca1a00c47f968e1caf5299.jpg
152,0,294236483553,506609490,做不熬夜的聪明蛋,5,女,他不是身体不舒服吗，为什么中午还在跑步，不去休息或者去医院吗,2026-03-26 12:25:40,0,0,要做就做到最好～,山东,否,https://i0.hdslb.com/bfs/face/7d3b8965d56d74e5ad9895a6fefb0c790df3852d.jpg
153,0,294176788257,3546764430805071,NING游戏百事通,3,保密,这个家长遗憾吗,2026-03-25 22:41:45,3,7,谢谢你为我点亮一眼，愿你每天被幸运宠爱。,天津,否,https://i0.hdslb.com/bfs/face/ff5126ac0d68931d287f26d2994e1eaa2f31d9f8.jpg
154,294176788257,296703208832,400584725,定投不悔,5,男,退钱，退钱[doge_金箍][doge_金箍],2026-03-26 03:12:38,0,3,坚定守住，就有办法,重庆,否,https://i2.hdslb.com/bfs/face/04716040701b526ba95cf12e4480d1b78fce08c3.jpg
155,294176788257,294217382273,358338964,倒计时-滴答滴答,6,保密,肯定要退钱啊，问题还没解决,2026-03-26 08:57:15,0,1,不忘初心，方得始终！,上海,否,https://i1.hdslb.com/bfs/face/70fe34075712c53df6c2a855fc65520ad74a3901.jpg
156,294176788257,296739453808,92463744,笑谈说,6,保密,不会的，这种人一听就是全世界都要围着她转的，她不会感到遗憾，只会庆幸还好没下单。,2026-03-26 10:13:28,0,1,,山东,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
157,0,296729663568,1591306,卡希尔,6,保密,不舒服真要第一时间看医生别硬撑着，有一次就是感觉胸和后背疼第一时间请假去的医院，就是害怕心脏出问题。最后得出结论是因为前几天锻炼胸和背拉伤了[笑哭],2026-03-26 08:30:43,0,28,这个人很懒，什么都没有留下,北京,否,http://i0.hdslb.com/bfs/baselabs/98f7111fe05a055ffeab203acd1c0341a2c67908.jpg
158,0,294236099041,24133097,今天周几啊啊啊啊,5,保密,这么累不休息,2026-03-26 12:22:55,0,0,,云南,否,https://i2.hdslb.com/bfs/face/02bef2add0740715ebd02ee0415673ed7cbfacaa.jpg
159,0,296687998736,3546970725550911,七七大王酱,6,保密,3月24下午13:30左右我来学校陪孩子学习，孩子在看手机学习，我就在操场上走路，用另外一部手机看张老师的直播，当时张老师还在为云南曲靖的一位家长跟孩子分析，云南曲靖，他家孩子考520分到530分，想上公费师范，张老师说不行，张老师下面准备给他出主意的时候，突然中断，我就没再看直播了，这个是真实的,2026-03-25 22:41:44,20,298,谢谢你停留，愿快乐找上门。,四川,否,https://i0.hdslb.com/bfs/face/0edc4461bc9137d7b9308a946b1731e3a53de01f.jpg
160,296687998736,294177293793,1178218099,是冤种鸭,5,保密,所以不是跑步的时候出事的？,2026-03-25 22:58:08,0,6,涨粉互关,上海,否,https://i1.hdslb.com/bfs/face/af13596a7dfbcd4d9aca9c0571cab55b65148301.jpg
161,296687998736,296691151488,353233403,旗子飘啊飘,5,保密,把证据提供给警方，和官方时间线不一致,2026-03-26 00:09:10,0,40,,陕西,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
162,296687998736,294180771473,3546940784511070,07010403542,3,保密,不是说直播早上就结束了吗？为什么中午还有直播？？？,2026-03-26 00:29:51,0,30,,江苏,是,https://i1.hdslb.com/bfs/face/c1227deb06f7baa86813364bb775eb076d6fb41d.jpg
163,296691151488,296696947584,251917,saberonly,6,男,回复 @旗子飘啊飘 :如果真开直播的时候，早就传开了，开直播不可能只有一个人看吧。,2026-03-26 01:48:15,0,27,,上海,否,https://i1.hdslb.com/bfs/face/fd109bb9abce6ca397145b2e69878ca13b490fe2.jpg
164,296687998736,296704304688,1129568632,千一米问头,4,保密,这个选择就不合适 公费师范,2026-03-26 03:27:02,0,7,,北京,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
165,294177293793,296705721488,389211817,闲饼干不吃饼干,6,男,回复 @是冤种鸭 :跑步是直播结束之后的事吧,2026-03-26 03:42:50,0,6,,黑龙江,否,https://i1.hdslb.com/bfs/face/763071f0f29ac8d3b698f1be5b1ab76eb792c221.jpg
166,296698212720,294197167201,513618767,年轻迈的老六,4,保密,回复 @户晨凪 :这时间线有问题啊,2026-03-26 04:26:40,0,3,,广东,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
167,296687998736,294197383521,513618767,年轻迈的老六,4,保密,楼主，你如果没有造假的话，那肖申克的救赎你看过了吗？里面有一个剧情人物和你现在很像，就是主角是被冤枉进去的，而那个剧情人物也知道主角是被冤枉进去的，但是他当时的状态是囚犯，你了解一下,2026-03-26 04:28:26,0,9,,广东,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
168,296687998736,294204488737,401620588,致大地的情书,5,保密,在评论区散播有啥子用？请去告诉警方,2026-03-26 05:51:29,0,9,,广西,否,https://i1.hdslb.com/bfs/face/b01ede0861e784525da8d152c3cd51e5fa012080.jpg
169,296687998736,294204848241,1011929650,另一家鸡柳,3,男,录播吧,2026-03-26 05:58:54,0,12,问就是没素材了,江苏,是,https://i1.hdslb.com/bfs/face/996dee11a92376bfc45e318f182e366b575568b3.jpg
170,296687998736,294205963569,325661751,又梨qqjj,5,男,可能是录播[吃瓜],2026-03-26 06:15:18,0,10,,广东,否,https://i0.hdslb.com/bfs/face/cc29c3e391374cd23ab8914eef076cb5a203179d.jpg
171,296687998736,296719624704,383330960,未雨-绸缪_,6,男,能查到3月24日上午的直播，当时他说晚上七点见。所以3.24下午的应该是录播,2026-03-26 06:17:36,0,22,知者不惑 仁者不忧 勇者不惧,未知,是,https://i2.hdslb.com/bfs/face/cb16a64e8918892321d7eb6222310853eaef6084.jpg
172,296687998736,296725307760,34203548,超甜嫌疑犯,6,保密,可能是矩阵号放的录播,2026-03-26 07:31:05,0,12,"（Q群）无归之帆-登船前哨站：566666621  欢迎萌新老玩家
让我们聊以自慰吧(*^ω^*)",江苏,是,https://i2.hdslb.com/bfs/face/b97e596320d5c8573048c394db546657abd8c2d9.jpg
173,294204488737,296726431568,691728733,五套节目,5,保密,回复 @致大地的情书 :有没想过只有一个网红张雪峰，无数爱国网红大V，这个赛道为啥人少，想过吗？,2026-03-26 07:47:49,0,0,,广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
174,296687998736,296728229184,355361034,WilderWall,6,男,又阴谋论上了,2026-03-26 08:13:32,0,12,,江苏,是,https://i0.hdslb.com/bfs/face/d46c74072b428ac3a65bd90be6d84c203a9194bc.jpg
175,296687998736,294216437841,32416786,等总计999人,5,保密,你要搞清楚你的言论是不是造谣还传谣！,2026-03-26 08:45:27,0,5,,四川,是,https://i1.hdslb.com/bfs/face/3d4c1f65f73cb7f92976e0e445a0fa523d7c44a1.jpg
176,296687998736,294218578673,520872369,这哪里是下雨了吗,5,保密,真有这个直播肯定不会是你第一个说出来[doge_金箍],2026-03-26 09:12:06,0,7,,江苏,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
177,296687998736,294222540897,2117543684,CR400BF-AZ-0519,6,男,"1.你当时用的哪个软件看的张老师直播
2.视频也好直播也好应该是有记录的（微信视频号这个我不太清楚）
3.怎么保证您当时看的不是录播？",2026-03-26 10:00:33,0,2,,黑龙江,是,https://i2.hdslb.com/bfs/face/6428d7b646049d3f6a0f71e96bb6c785e5ac2bb6.jpg
178,296687998736,296738585984,490855605,Un_Reason,5,保密,想表达什么？,2026-03-26 10:04:42,0,0,愚忠,河南,否,https://i0.hdslb.com/bfs/face/dc5ae89ab556e31ac324a80abb8174b1ab4ac219.jpg
179,296687998736,296747403568,286961106,初雪OeO,6,保密,开直播不可能就一个人看到的，应该是录播轮播,2026-03-26 11:32:45,0,0,"我们将会高兴
让他，这个
爱挑毛病的人
又悲伤又愚蠢",江西,否,https://i0.hdslb.com/bfs/face/0ed0a62391777585410531a71ad4696ba91b82ec.jpg
180,0,294226314305,195766880,曼波噢码姬哩曼波,6,保密,说句马后炮的话，他如果睡眠时间足够，根本不会发生现在的这种情况，锻炼可以，但是休息不足还去锻炼，那就是找似,2026-03-26 10:40:53,5,3,,广东,否,https://i2.hdslb.com/bfs/face/0edc4461bc9137d7b9308a946b1731e3a53de01f.jpg
181,294226314305,294228099377,19794588,灵风青羽,6,保密,也不能算马后炮，亚健康这个词从零几年就已经有了，医生专家和健身网红也已经宣传过很多年了睡眠时间不够会导致大脑疲惫以及心脏泵血压力过大，身体不舒服就要去休息而不是强行运动……每年因为过劳而猝死的也不在少数，绝大多数都是大厂的打工仔，张雪峰只是成为了常见案例之一，从他的很多作息和面貌状态上基本就可以推断身体出情况会很差，结局也只是时间问题，只是没想到会这么早……,2026-03-26 10:58:23,0,2,别跟儍福生气。,浙江,是,https://i0.hdslb.com/bfs/face/e03f609b9320bd4b869350ae1323219cd49add8c.jpg
182,294229890225,294230050129,19794588,灵风青羽,6,保密,回复 @嘉然想吃邪魔族幼虫 : 你要辣条干嘛，屁股痒吗,2026-03-26 11:19:39,0,1,别跟儍福生气。,浙江,是,https://i0.hdslb.com/bfs/face/e03f609b9320bd4b869350ae1323219cd49add8c.jpg
183,294230050129,294233263105,1451656982,嘉然想吃邪魔族幼虫,6,女,回复 @灵风青羽 :你很缺 给你塞,2026-03-26 11:54:09,0,0,Ծ‸ Ծ可爱捏Ծ‸ Ծ✌✅❇️✨⏬✊❇️✅⏬⏬✌❇️✨⏬✊❇️✅,安徽,是,https://i2.hdslb.com/bfs/face/67b3e27f6ed4975cceca1a00c47f968e1caf5299.jpg
184,294230050129,294233410833,1451656982,嘉然想吃邪魔族幼虫,6,女,回复 @灵风青羽 :怎么说老弟,2026-03-26 11:54:17,0,0,Ծ‸ Ծ可爱捏Ծ‸ Ծ✌✅❇️✨⏬✊❇️✅⏬⏬✌❇️✨⏬✊❇️✅,安徽,是,https://i2.hdslb.com/bfs/face/67b3e27f6ed4975cceca1a00c47f968e1caf5299.jpg
185,294230050129,294233414193,1451656982,嘉然想吃邪魔族幼虫,6,女,回复 @灵风青羽 :哈哈哈哈哈哈哈哈哈哈哈哈哈,2026-03-26 11:54:23,0,0,Ծ‸ Ծ可爱捏Ծ‸ Ծ✌✅❇️✨⏬✊❇️✅⏬⏬✌❇️✨⏬✊❇️✅,安徽,是,https://i2.hdslb.com/bfs/face/67b3e27f6ed4975cceca1a00c47f968e1caf5299.jpg
186,0,296751344176,26343141,就這醬紫ba,5,保密,"唉,晚上7点,晚上7点,,,,,,,,,",2026-03-26 12:12:00,0,1,,江苏,否,https://i0.hdslb.com/bfs/face/d9c40ab42352c136d3fd194bee5d7c2fe2d3df99.jpg
